model,sentence_id,english,tamil,source_token_count,target_token_count,expansion_ratio,avg_word_length,subword_fragmentation,unknown_token_rate
IndicTrans2,10,"While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.","ஒரு சோதனை தடுப்பூசி எபோலா இறப்பைக் குறைக்க முடியும் என்று தோன்றினாலும், இப்போது வரை, தற்போதுள்ள நோய்த்தொற்றுக்கு சிகிச்சையளிக்க பொருத்தமான மருந்துகள் எதுவும் தெளிவாக நிரூபிக்கப்படவில்லை.",29,187,6.448,0.898,1.1131,0.0
IndicTrans2,11,"One antibody cocktail, ZMapp, initially showed promise in the field, but formal studies indicated it had less benefit than sought in preventing death.","ஒரு ஆன்டிபாடி காக்டெய்ல், ZMapp, ஆரம்பத்தில் இந்தத் துறையில் நம்பிக்கையைக் காட்டியது, ஆனால் முறையான ஆய்வுகள் மரணத்தைத் தடுப்பதில் விரும்பியதை விட குறைவான நன்மையைக் கொண்டிருந்தன என்பதைக் குறிக்கின்றன.",32,197,6.156,0.909,1.1006,0.0
IndicTrans2,12,"In the PALM trial, ZMapp served as a control, meaning scientists used it as a baseline and compared the three other treatments to it.","PALM சோதனையில், ZMapp ஒரு கட்டுப்பாட்டாக செயல்பட்டது, அதாவது விஞ்ஞானிகள் அதை ஒரு அடிப்படையாகப் பயன்படுத்தினர் மற்றும் மற்ற மூன்று சிகிச்சைகளை அதனுடன் ஒப்பிட்டனர்.",34,158,4.647,0.918,1.0897,0.0
IndicTrans2,13,USA Gymnastics supports the United States Olympic Committee's letter and accepts the absolute need of the Olympic family to promote a safe environment for all of our athletes.,அமெரிக்க ஜிம்னாஸ்டிக்ஸ் அமெரிக்க ஒலிம்பிக் கமிட்டியின் கடிதத்தை ஆதரிக்கிறது மற்றும் நமது அனைத்து விளையாட்டு வீரர்களுக்கும் பாதுகாப்பான சூழலை ஊக்குவிக்க ஒலிம்பிக் குடும்பத்தின் முழுமையான தேவையை ஏற்றுக்கொள்கிறது.,35,211,6.029,0.905,1.1047,0.0
IndicTrans2,14,"We agree with the USOC's statement that the interests of our athletes and clubs, and their sport, may be better served by moving forward with meaningful change within our organization, rather than decertification.","எங்கள் விளையாட்டு வீரர்கள் மற்றும் கிளப்புகளின் நலன்கள் மற்றும் அவர்களின் விளையாட்டு, எங்கள் நிறுவனத்திற்குள் அர்த்தமுள்ள மாற்றத்துடன் முன்னேறுவதன் மூலம் சிறப்பாக செயல்பட முடியும் என்ற யு. எஸ். ஓ. சியின் அறிக்கையை நாங்கள் ஒப்புக்கொள்கிறோம்.",44,241,5.477,0.892,1.1209,0.0
IndicTrans2,15,USA Gymnastics supports an independent investigation that may shine light on how abuse of the proportion described so courageously by the survivors of Larry Nassar could have gone undetected for so long and embraces any necessary and appropriate changes.,லாரி நாசர் உயிர் பிழைத்தவர்களால் இவ்வளவு தைரியமாக விவரிக்கப்பட்ட விகிதத்தை துஷ்பிரயோகம் செய்வது இவ்வளவு காலமாக கண்டறியப்படாமல் இருந்திருக்கலாம் மற்றும் தேவையான மற்றும் பொருத்தமான மாற்றங்களைத் தழுவியிருக்கலாம் என்பதை வெளிச்சம் போட்டுக் காட்டும் ஒரு சுயாதீன விசாரணையை யு. எஸ். ஏ ஜிம்னாஸ்டிக்ஸ் ஆதரிக்கிறது.,49,305,6.224,0.895,1.1172,0.0
IndicTrans2,16,"USA Gymnastics and the USOC have the same goal — making the sport of gymnastics, and others, as safe as possible for athletes to follow their dreams in a safe, positive and empowered environment.","அமெரிக்க ஜிம்னாஸ்டிக்ஸ் மற்றும் யு. எஸ். ஓ. சி ஒரே குறிக்கோளைக் கொண்டுள்ளன-ஜிம்னாஸ்டிக்ஸ் மற்றும் பிற விளையாட்டுகளை விளையாட்டு வீரர்கள் தங்கள் கனவுகளை பாதுகாப்பான, நேர்மறையான மற்றும் அதிகாரம் பெற்ற சூழலில் பின்பற்ற முடிந்தவரை பாதுகாப்பானதாக மாற்றுவது.",44,252,5.727,0.893,1.12,0.0
IndicTrans2,17,"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.","1960கள் முழுவதும், ஜான் எஃப் கென்னடிக்கு அவரது ஆலோசகராகவும் பின்னர் லிண்டன் பி. ஜான்சன் நிர்வாகத்திலும் பிரெஸ்ஜின்ஸ்கி பணியாற்றினார்.",29,130,4.483,0.923,1.0833,0.0
IndicTrans2,18,"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","1976 தேர்தல்களின் போது அவர் கார்டருக்கு வெளியுறவுக் கொள்கை குறித்து ஆலோசனை வழங்கினார், பின்னர் 1977 முதல் 1981 வரை தேசிய பாதுகாப்பு ஆலோசகராக (என்எஸ்ஏ) பணியாற்றினார், ஹென்றி கிஸ்ஸிங்கருக்குப் பிறகு.",34,185,5.441,0.946,1.0571,0.0
IndicTrans2,19,"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.","தேசிய பாதுகாப்பு ஆலோசகராக, 1978 ஆம் ஆண்டு கேம்ப் டேவிட் உடன்படிக்கைகள் போன்ற உலக விவகாரங்களை இராஜதந்திர ரீதியாக கையாள்வதில் கார்டருக்கு உதவினார்; 1970 களின் பிற்பகுதியில் அமெரிக்க-சீன உறவுகளை இயல்பாக்கியது; ஈரான் பணயக்கைதிகள் நெருக்கடிக்கு வழிவகுத்த ஈரானிய புரட்சி, 1979; மற்றும் ஆப்கானிஸ்தானில் சோவியத் படையெடுப்பு, 1979.",60,307,5.117,0.938,1.066,0.0
IndicTrans2,20,"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.",ரியான் கோஸ்லிங் மற்றும் எம்மா ஸ்டோன் நடித்த இத்திரைப்படம் அனைத்து முக்கிய பிரிவுகளிலும் பரிந்துரைகளைப் பெற்றது.,20,112,5.6,0.893,1.12,0.0
IndicTrans2,21,Gosling and Stone received nominations for Best Actor and Actress respectively.,கோஸ்லிங் மற்றும் ஸ்டோன் முறையே சிறந்த நடிகர் மற்றும் நடிகைக்கான பரிந்துரைகளைப் பெற்றனர்.,15,89,5.933,0.888,1.1266,0.0
IndicTrans2,22,"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.","சிறந்த படம், இயக்குனர், ஒளிப்பதிவு, ஆடை வடிவமைப்பு, திரைப்பட எடிட்டிங், அசல் ஸ்கோர், தயாரிப்பு வடிவமைப்பு, ஒலி எடிட்டிங், ஒலி கலவை மற்றும் அசல் திரைக்கதை ஆகியவை பரிந்துரைக்கப்படுகின்றன.",43,186,4.326,0.887,1.1273,0.0
IndicTrans2,23,"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.","திரைப்படத்தின் இரண்டு பாடல்கள், ஆடிஷன் (தி ஃபூல்ஸ் ஹூ ட்ரீம்) மற்றும் சிட்டி ஆஃப் ஸ்டார்ஸ், சிறந்த அசல் பாடலுக்கான பரிந்துரைகளைப் பெற்றன. லயன்ஸ்கேட் ஸ்டுடியோ 26 பரிந்துரைகளைப் பெற்றது-வேறு எந்த ஸ்டுடியோவையும் விட அதிகம்.",44,218,4.955,0.894,1.1179,0.0
IndicTrans2,24,"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.","ஞாயிற்றுக்கிழமை பிற்பகுதியில், அமெரிக்க ஜனாதிபதி டொனால்ட் ட்ரம்ப், பத்திரிகை செயலாளர் மூலம் வழங்கிய அறிக்கையில், அமெரிக்க துருப்புக்கள் சிரியாவை விட்டு வெளியேறும் என்று அறிவித்தார்.",30,182,6.067,0.901,1.1098,0.0
IndicTrans2,25,The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,துருக்கி அதிபர் ரெசெப் தயிப் எர்டோகனுடன் ட்ரம்ப் தொலைபேசியில் பேசிய பின்னர் இந்த அறிவிப்பு வெளியிடப்பட்டது.,25,108,4.32,0.889,1.125,0.0
IndicTrans2,26,"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.","கைப்பற்றப்பட்ட ஐஎஸ்ஐஎஸ் போராளிகளைப் பாதுகாப்பதையும் துருக்கி எடுத்துக் கொள்ளும், ஐரோப்பிய நாடுகள் திருப்பி அனுப்ப மறுத்துவிட்டன என்று அந்த அறிக்கையில் கூறப்பட்டுள்ளது.",26,168,6.462,0.905,1.1053,0.0
IndicTrans2,27,"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.","இது குறைந்தபட்சம் சில டைனோசர்களுக்கு இறகுகள் இருந்தன என்பதை உறுதிப்படுத்துவது மட்டுமல்லாமல், ஏற்கனவே பரவலாக உள்ள ஒரு கோட்பாடு, ஆனால் நிறம் மற்றும் முப்பரிமாண ஏற்பாடு போன்ற புதைபடிவங்கள் பொதுவாக செய்ய முடியாத விவரங்களை வழங்குகிறது.",36,231,6.417,0.887,1.1268,0.0
IndicTrans2,28,. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.,இந்த விலங்கின் இறகுகள் மேலே செஸ்ட்நட்-பழுப்பு நிறத்தில் வெளிர் அல்லது கரோட்டினாய்டு நிறத்தில் இருந்தன என்று விஞ்ஞானிகள் கூறுகின்றனர்.,33,134,4.061,0.896,1.1167,0.0
IndicTrans2,29,The find also grants insight into the evolution of feathers in birds.,இந்த கண்டுபிடிப்பு பறவைகளில் இறகுகளின் பரிணாம வளர்ச்சியைப் பற்றிய நுண்ணறிவையும் வழங்குகிறது.,15,93,6.2,0.903,1.1071,0.0
IndicTrans2,30,"Because the dinosaur feathers do not have a well-developed shaft, called a rachis, but do have other features of feathers — barbs and barbules — the researchers inferred the rachis was likely a later evolutionary development that these other features.","டைனோசர் இறகுகள் ராச்சிஸ் என்று அழைக்கப்படும் நன்கு வளர்ந்த தண்டைக் கொண்டிருக்கவில்லை, ஆனால் இறகுகளின் பிற அம்சங்களைக் கொண்டுள்ளன-பார்புகள் மற்றும் பார்புல்ஸ்-ஆராய்ச்சியாளர்கள் ராச்சிஸ் இந்த மற்ற அம்சங்களை விட பிற்கால பரிணாம வளர்ச்சியாக இருக்கலாம் என்று ஊகித்தனர்.",59,264,4.475,0.898,1.1139,0.0
IndicTrans2,31,"The feathers' structure suggests that they were not used in flight but rather for temperature regulation or display. The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.","இறகுகளின் அமைப்பு அவை பறக்கும் போது பயன்படுத்தப்படவில்லை, மாறாக வெப்பநிலை கட்டுப்பாடு அல்லது காட்சிக்கு பயன்படுத்தப்பட்டன என்று கூறுகிறது. இது ஒரு இளம் டைனோசரின் வால் என்றாலும், மாதிரி வயது வந்த இறகுகளைக் காட்டுகிறது, ஆனால் ஒரு கோழியின் கீழே அல்ல என்று ஆராய்ச்சியாளர்கள் பரிந்துரைத்தனர்.",54,288,5.333,0.885,1.1294,0.0
IndicTrans2,32,"The researchers suggested that, even though this is the tail of a young dinosaur, the sample shows adult plumage and not a chick's down.","இது ஒரு இளம் டைனோசரின் வால் என்றாலும், மாதிரி வயது வந்த இறகுகளைக் காட்டுகிறது, ஒரு கோழியின் கீழே அல்ல என்று ஆராய்ச்சியாளர்கள் பரிந்துரைத்தனர்.",34,143,4.206,0.874,1.144,0.0
IndicTrans2,33,"A car bomb detonated at police headquarters in Gaziantep, Turkey yesterday morning killed two police officers and injured more than twenty other people.",துருக்கியில் உள்ள காசியான்டெப்பில் உள்ள போலீஸ் தலைமையகத்தில் நேற்று காலை நடந்த கார் குண்டுவெடிப்பில் இரண்டு போலீஸ் அதிகாரிகள் கொல்லப்பட்டனர் மற்றும் இருபதுக்கும் மேற்பட்டோர் காயமடைந்தனர்.,30,188,6.267,0.899,1.1124,0.0
IndicTrans2,34,The governor's office said nineteen of the injured were police officers.,காயமடைந்தவர்களில் பத்தொன்பது பேர் போலீஸ் அதிகாரிகள் என்று ஆளுநர் அலுவலகம் தெரிவித்துள்ளது.,17,91,5.353,0.901,1.1098,0.0
IndicTrans2,35,Police said they suspect an alleged Daesh (ISIL) militant of responsibility for the attack.,இந்த தாக்குதலுக்கு டேஷ் (ஐஎஸ்ஐஎல்) போராளி என்று சந்தேகிப்பதாக போலீசார் தெரிவித்தனர்.,21,84,4.0,0.905,1.1053,0.0
IndicTrans2,36,"They found the Sun operated on the same basic principles as other stars: The activity of all stars in the system was found to be driven by their luminosity, their rotation, and nothing else.","சூரியன் மற்ற நட்சத்திரங்களைப் போலவே அதே அடிப்படைக் கொள்கைகளின் அடிப்படையில் செயல்படுவதை அவர்கள் கண்டறிந்தனர்ஃ இந்த அமைப்பில் உள்ள அனைத்து நட்சத்திரங்களின் செயல்பாடும் அவற்றின் ஒளிரும் தன்மை, அவற்றின் சுழற்சி மற்றும் வேறு எதனாலும் இயக்கப்படுவதாகக் கண்டறியப்பட்டது.",41,264,6.439,0.898,1.1139,0.0
IndicTrans2,37,"The luminosity and rotation are used together to determine a star's Rossby number, which is related to plasma flow.",பிளாஸ்மா ஓட்டத்துடன் தொடர்புடைய ஒரு நட்சத்திரத்தின் ரோஸ்பி எண்ணை தீர்மானிக்க ஒளிரும் தன்மையும் சுழற்சியும் ஒன்றாக பயன்படுத்தப்படுகின்றன.,27,137,5.074,0.905,1.1048,0.0
IndicTrans2,38,"The smaller the Rossby number, the less active the star with respect to magnetic reversals.","ராஸ்பி எண் எவ்வளவு சிறியதாக இருக்கிறதோ, காந்தப் பின்னடைவுகளைப் பொறுத்தவரை நட்சத்திரம் குறைவான செயலில் உள்ளது.",21,110,5.238,0.891,1.1224,0.0
IndicTrans2,39,"During his trip, Iwasaki ran into trouble on many occasions.","தனது பயணத்தின் போது, இவாசாகி பல சந்தர்ப்பங்களில் சிக்கலில் சிக்கினார்.",16,71,4.438,0.887,1.127,0.0
IndicTrans2,40,"He was robbed by pirates, attacked in Tibet by a rabid dog, escaped marriage in Nepal and was arrested in India.","அவர் கடற்கொள்ளையர்களால் கொள்ளையடிக்கப்பட்டார், திபெத்தில் ஒரு வெறித்தனமான நாயால் தாக்கப்பட்டார், நேபாளத்தில் திருமணத்திலிருந்து தப்பித்து இந்தியாவில் கைது செய்யப்பட்டார்.",28,171,6.107,0.918,1.0892,0.0
IndicTrans2,41,The 802.11n standard operates on both the 2.4Ghz and 5.0Ghz frequencies.,802.11n தரநிலை 2.4Ghz மற்றும் 5.0Ghz அதிர்வெண்கள் இரண்டிலும் செயல்படுகிறது.,23,67,2.913,1.015,0.9853,0.0
IndicTrans2,42,"This will allow it to be backwards compatible with 802.11a, 802.11b and 802.11g, provided that the base station has dual radios.","அடிப்படை நிலையத்தில் இரட்டை ரேடியோக்கள் இருந்தால், இது 802.11a, 802.11b மற்றும் 802.11g உடன் பின்னோக்கி இணக்கமாக இருக்க அனுமதிக்கும்.",36,122,3.389,0.975,1.0252,0.0
IndicTrans2,43,The speeds of 802.11n are substantially faster than that of its predecessors with a maximum theoretical throughput of 600Mbit/s.,"802.11n இன் வேகம் அதன் முன்னோடிகளை விட கணிசமாக வேகமாக உள்ளது, அதிகபட்ச கோட்பாட்டு செயல்திறன் 600Mbit/s ஆகும்.",30,101,3.367,0.95,1.0521,0.0
IndicTrans2,44,"Duvall, who is married with two adult children, did not leave a big impression on Miller, to whom the story was related.","இரண்டு வயது வந்த குழந்தைகளுடன் திருமணமான துவால், மில்லர் மீது பெரிய தாக்கத்தை ஏற்படுத்தவில்லை, அவருடன் கதை தொடர்புடையது.",30,121,4.033,0.884,1.1308,0.0
IndicTrans2,45,"When asked for comment, Miller said, ""Mike talks a lot during the hearing...I was getting ready so I wasn't really hearing what he was saying.""","கருத்தைக் கேட்டபோது, மில்லர் கூறினார், ""விசாரணையின் போது மைக் நிறைய பேசுகிறார்... நான் தயாராகிக் கொண்டிருந்தேன், எனவே அவர் என்ன சொல்கிறார் என்பதை நான் உண்மையில் கேட்கவில்லை"".",39,173,4.436,0.896,1.1161,0.0
IndicTrans2,46,"""We will endeavour to cut carbon dioxide emissions per unit of GDP by a notable margin by 2020 from the 2005 level,"" Hu said.","""மொத்த உள்நாட்டு உற்பத்தியில் ஒரு யூனிட்டுக்கு கார்பன் டை ஆக்சைடு உமிழ்வை 2005 ஆம் ஆண்டின் மட்டத்திலிருந்து 2020 ஆம் ஆண்டுக்குள் குறிப்பிடத்தக்க வித்தியாசத்தில் குறைக்க முயற்சிப்போம்"" என்று ஹு கூறினார்.",30,194,6.467,0.928,1.0778,0.0
IndicTrans2,47,"He did not set a figure for the cuts, saying they will be made based on China's economic output.","வெட்டுக்களுக்கான எண்ணிக்கையை அவர் நிர்ணயிக்கவில்லை, அவை சீனாவின் பொருளாதார உற்பத்தியின் அடிப்படையில் செய்யப்படும் என்று கூறினார்.",25,130,5.2,0.908,1.1017,0.0
IndicTrans2,48,"Hu encouraged developing countries ""to avoid the old path of polluting first and cleaning up later.""","வளரும் நாடுகளை ""மாசுபடுத்தும் பழைய பாதையை முதலில் தவிர்க்கவும், பின்னர் சுத்தம் செய்யவும்"" ஹூ ஊக்குவித்தார்.",22,108,4.909,0.898,1.1134,0.0
IndicTrans2,49,"He added that ""they should not, however, be asked to take on obligations that go beyond their development stage, responsibility and capabilities.""","எவ்வாறாயினும், அவர்களின் வளர்ச்சி நிலை, பொறுப்பு மற்றும் திறன்களுக்கு அப்பாற்பட்ட கடமைகளை ஏற்கும்படி அவர்களிடம் கேட்கப்படக்கூடாது என்றும் அவர் கூறினார்.",31,153,4.935,0.902,1.1087,0.0
IndicTrans2,50,The Iraq Study Group presented its report at 12.00 GMT today.,ஈராக் ஆய்வுக் குழு தனது அறிக்கையை இன்று 12.00 GMT இல் சமர்ப்பித்தது.,15,62,4.133,0.952,1.0508,0.0
IndicTrans2,51,"It warns No one can guarantee that any course of action in Iraq at this point will stop sectarian warfare, growing violence, or a slide toward chaos.","இந்த கட்டத்தில் ஈராக்கில் எந்தவொரு நடவடிக்கையும் குறுங்குழுவாத போர், வளர்ந்து வரும் வன்முறை அல்லது குழப்பத்தை நோக்கிய சரிவை நிறுத்தும் என்று யாராலும் உத்தரவாதம் அளிக்க முடியாது என்று அது எச்சரிக்கிறது.",33,202,6.121,0.886,1.1285,0.0
IndicTrans2,52,The Report opens with plea for open debate and the formation of a consensus in the United States about the policy towards the Middle East.,மத்திய கிழக்கை நோக்கிய கொள்கை குறித்து அமெரிக்காவில் வெளிப்படையான விவாதம் மற்றும் ஒருமித்த கருத்தை உருவாக்குவதற்கான வேண்டுகோளுடன் இந்த அறிக்கை தொடங்குகிறது.,28,157,5.607,0.898,1.1135,0.0
IndicTrans2,53,The Report is highly critical of almost every aspect of the present policy of the Executive towards Iraq and it urges an immediate change of direction.,"ஈராக்கை நோக்கிய நிர்வாகத்தின் தற்போதைய கொள்கையின் கிட்டத்தட்ட ஒவ்வொரு அம்சத்தையும் இந்த அறிக்கை மிகவும் விமர்சிக்கிறது, மேலும் இது உடனடியாக திசையை மாற்ற வலியுறுத்துகிறது.",29,171,5.897,0.895,1.1176,0.0
IndicTrans2,54,First among its 78 recommendations is that a new diplomatic initiative should be taken before the end of this year to secure Iraq’s borders against hostile interventions and to re-establish diplomatic relations with its neighbors.,"அதன் 78 பரிந்துரைகளில் முதலாவதாக, ஈராக்கின் எல்லைகளை விரோதமான தலையீடுகளுக்கு எதிராகப் பாதுகாக்கவும், அதன் அண்டை நாடுகளுடன் இராஜதந்திர உறவுகளை மீண்டும் நிறுவவும் இந்த ஆண்டு இறுதிக்குள் ஒரு புதிய இராஜதந்திர முன்முயற்சி எடுக்கப்பட வேண்டும்.",43,236,5.488,0.898,1.1132,0.0
IndicTrans2,55,"Current senator and Argentine First Lady Cristina Fernandez de Kirchner announced her presidential candidacy yesterday evening in La Plata, a city 50 kilometers (31 miles) away from Buenos Aires.",தற்போதைய செனட்டரும் அர்ஜென்டினாவின் முதல் பெண்மணியுமான கிறிஸ்டினா பெர்னாண்டஸ் டி கிர்ச்னர் நேற்று மாலை பியூனஸ் அயர்ஸிலிருந்து 50 கிலோமீட்டர் (31 மைல்) தொலைவில் உள்ள லா பிளாட்டாவில் தனது ஜனாதிபதி வேட்பாளரை அறிவித்தார்.,39,214,5.487,0.902,1.1088,0.0
IndicTrans2,56,"Mrs. Kirchner announced her intention to run for president at the Argentine Theatre, the same location she used to start her 2005 campaign for the Senate as member of the Buenos Aires province delegation.","திருமதி கிர்ச்னர் அர்ஜென்டினா தியேட்டரில் ஜனாதிபதி பதவிக்கு போட்டியிடுவதற்கான தனது விருப்பத்தை அறிவித்தார், அதே இடத்தில் அவர் பியூனஸ் அயர்ஸ் மாகாண தூதுக்குழுவின் உறுப்பினராக செனட்டிற்கான தனது 2005 பிரச்சாரத்தைத் தொடங்கினார்.",41,221,5.39,0.914,1.0941,0.0
IndicTrans2,57,"The debate was sparked by controversy over spending on relief and reconstruction in the wake Hurricane Katrina; which some fiscal conservatives have humorously labeled ""Bush's New Orleans Deal.""","கத்ரீனா சூறாவளியை அடுத்து நிவாரணம் மற்றும் புனரமைப்புக்கான செலவு குறித்த சர்ச்சையால் இந்த விவாதம் தூண்டப்பட்டது; சில நிதி பழமைவாதிகள் நகைச்சுவையாக ""புஷ்ஷின் நியூ ஆர்லியன்ஸ் ஒப்பந்தம்"" என்று பெயரிட்டுள்ளனர்.",39,206,5.282,0.898,1.1135,0.0
IndicTrans2,58,Liberal criticism of the reconstruction effort has focused on the awarding of reconstruction contracts to perceived Washington insiders.,மறுசீரமைப்பு முயற்சியின் தாராளவாத விமர்சனம் வாஷிங்டனின் உளவாளிகளுக்கு மறுசீரமைப்பு ஒப்பந்தங்களை வழங்குவதில் கவனம் செலுத்தியுள்ளது.,22,131,5.955,0.916,1.0917,0.0
IndicTrans2,59,Over four million people went to Rome to attend the funeral.,இறுதிச் சடங்கில் கலந்து கொள்வதற்காக நான்கு மில்லியனுக்கும் அதிகமான மக்கள் ரோம் சென்றனர்.,14,89,6.357,0.888,1.1266,0.0
IndicTrans2,60,The number of people present was so large that it was not possible for everybody to gain access to the funeral in St. Peter's Square.,"அங்கு கூடியிருந்த மக்களின் எண்ணிக்கை மிகவும் அதிகமாக இருந்ததால், செயின்ட் பீட்டர்ஸ் சதுக்கத்தில் உள்ள இறுதிச் சடங்கிற்கு அனைவரும் செல்ல முடியவில்லை.",31,149,4.806,0.893,1.1203,0.0
IndicTrans2,61,Several large television screens were installed in various places in Rome to let the people watch the ceremony.,இந்த விழாவை மக்கள் பார்க்க ரோமின் பல்வேறு இடங்களில் பல பெரிய தொலைக்காட்சி திரைகள் நிறுவப்பட்டன.,21,96,4.571,0.875,1.1429,0.0
