source_english,reference_tamil,pred_Helsinki,pred_mT5,pred_NLLB-200,pred_IndicTrans2,pred_MADLAD
"Throughout 1960s, Brzezinski worked for John F. Kennedy as his advisor and then the Lyndon B. Johnson administration.",1960 முழுவதும் ஜான் எஃப்.கென்னடியிடம் ஆலோசகராகவும் பிறகு லிண்டன் பி. ஜான்சன் நிர்வாகத்திலும் ப்ஜெஜின்ஸ்கி பணிபுரிந்தார்.,"1960 - களில், ஜான் எஃப்.","▁ Through out ▁1960 s , ▁Brz ez inski ▁work ed ▁for ▁John ▁F . ▁Kennedy ▁as ▁his ▁ advisor ▁and ▁then ▁the ▁Lyn don ▁B . ▁Johnson ▁administration . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","1960 களில், ஜான் எஃப். கென்னடிக்கு தனது ஆலோசகராகவும் பின்னர் லிண்டன் பி. ஜான்சன் நிர்வாகத்திற்காகவும் ப்ரெசென்ஸ்கி பணியாற்றினார்.","1960கள் முழுவதும், ஜான் எஃப் கென்னடிக்கு அவரது ஆலோசகராகவும் பின்னர் லிண்டன் பி. ஜான்சன் நிர்வாகத்திலும் பிரெஸ்ஜின்ஸ்கி பணியாற்றினார்.","1960கள் முழுவதும், பிரெசின்ஸ்கி ஜான் எஃப்.கென்னடியின் ஆலோசகராகவும் பின்னர் லிண்டன் பி.ஜான்சன் நிர்வாகத்திலும் பணியாற்றினார்."
"During the 1976 selections he advised Carter on foreign policy, then served as National Security Advisor (NSA) from 1977 to 1981, succeeding Henry Kissinger.","1976 தேர்வுகளின் போது அவர் கார்டருக்கு வெளியுறவுக் கொள்கை குறித்து ஆலோசனை வழங்கினார், பின்னர்  ஹென்றி கிஸ்ஸிங்கருக்குப் பின் 1977 முதல் 1981 வரை தேசிய பாதுகாப்பு ஆலோசகராக (NSA) பணியாற்றினார்.",1976 -⁠ ல் வெளிநாட்டு கொள்கையில் கார்ட்டருக்கு அவர் ஆலோசனை கொடுத்தார்; பிறகு 1977 -⁠ லிருந்து 1981 வரை ஹென்றி கிஸ்லிங்கர் என்று அழைக்கப்பட்டார்.,"▁Dur ing ▁the ▁1976 ▁selection s ▁he ▁ advise d ▁Carter ▁on ▁ foreign ▁policy , ▁then ▁ served ▁as ▁National ▁Security ▁ Advisor ▁( NSA ) ▁from ▁1977 ▁to ▁1981 , ▁succe eding ▁Henry ▁Kiss inger . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","1976 தேர்தலின் போது, அவர் வெளியுறவுக் கொள்கையில் கார்ட்டருக்கு ஆலோசனை வழங்கினார், பின்னர் 1977 முதல் 1981 வரை தேசிய பாதுகாப்பு ஆலோசகராக (NSA) பணியாற்றினார், ஹென்றி கிசிங்கரைப் பின்தொடர்ந்தார்.","1976 தேர்தல்களின் போது அவர் கார்டருக்கு வெளியுறவுக் கொள்கை குறித்து ஆலோசனை வழங்கினார், பின்னர் 1977 முதல் 1981 வரை தேசிய பாதுகாப்பு ஆலோசகராக (என்எஸ்ஏ) பணியாற்றினார், ஹென்றி கிஸ்ஸிங்கருக்குப் பிறகு.","1976 தேர்தல்களில் அவர் கார்ட்டருக்கு வெளியுறவுக் கொள்கை குறித்து ஆலோசனை அளித்தார், அதன்பிறகு ஹென்றி கிசின்ஜரைப் பின்பற்றி 1877 முதல் 1081 வரை தேசிய பாதுகாப்பு ஆலோகானராக (NSA) பணியாற்றினார்."
"As NSA, he assisted Carter in diplomatically handling world affairs, such as the Camp David Accords, 1978; normalizing US–China relations thought the late 1970s; the Iranian Revolution, which led to the Iran hostage crisis, 1979; and the Soviet invasion in Afghanistan, 1979.","என்எஸ்ஏயாக அவர், 1978ஆம் ஆண்டு கேம்ப் டேவிட் உடன்படிக்கை; 1970ஆம் ஆண்டில் யுஎஸ்- சைனா இடையேயான உறவை சீர்படுத்தல், 1979ஆம் ஆண்டு இரான் பிணைக்கைதி நெருக்கடிக்கு வழிவகுத்த இரான் போராட்டம்; 1979இல் ஆஃப்கானிஸ்தானில் சோவியத்தின் முற்றுகை போன்ற உலக விவகாரங்களை அரசியல் திறனுடன் கையாள்வதில் கார்டருக்கு உதவியாக இருந்தார்.","NSA - யாக, அவர், முகாம் டேவிட் அக்கார்ட்ஸ், 1978 போன்ற அரசியல் விவகாரங்களைக் கையாளுவதில் கார்டினல்களுக்கு உதவி செய்தார்; சாதாரணமாக யூரோன் ஷிங்கோ உறவுகள் 1970 - களின் முடிவாக எண்ணின; ஈரானிய புரட்சி, இஸ்ரேன் கொள்ளையடிக்கப்பட்ட நெருக்கடிக்கு வழிநடத்தியது, 1979, ஆப்கானிஸ்தானில் சோவியத் தாக்குதல்.","▁As ▁ NSA , ▁he ▁assist ed ▁Carter ▁in ▁diplomat ically ▁handling ▁world ▁ affair s , ▁such ▁as ▁the ▁Camp ▁David ▁ Accord s , ▁1978 ; ▁normaliz ing ▁US – China ▁relations ▁thought ▁the ▁late ▁1970 s ; ▁the ▁I ranian ▁Revolution , ▁ which ▁led ▁to ▁the ▁Iran ▁ho stage ▁ crisis , ▁1979 ; ▁and ▁the ▁ Soviet ▁ invasion ▁in ▁Afghanistan , ▁1979 . </s>","என்எஸ்ஏ என்ற முறையில், அவர் 1978-ம் ஆண்டு காம்ப் டேவிட் உடன்படிக்கைகள் போன்ற உலக விவகாரங்களை இராஜதந்திர ரீதியாக கையாளுவதில் கார்ட்டருக்கு உதவியது; 1970 களின் பிற்பகுதியில் அமெரிக்க-சீன உறவுகளை இயல்படுத்தியது; ஈரானிய புரட்சி, இது ஈரான் கடத்தல் நெருக்கடிக்கு வழிவகுத்தது, 1979; மற்றும் ஆப்கானிஸ்தானில் சோவியத் படையெடுப்பு, 1979.","தேசிய பாதுகாப்பு ஆலோசகராக, 1978 ஆம் ஆண்டு கேம்ப் டேவிட் உடன்படிக்கைகள் போன்ற உலக விவகாரங்களை இராஜதந்திர ரீதியாக கையாள்வதில் கார்டருக்கு உதவினார்; 1970 களின் பிற்பகுதியில் அமெரிக்க-சீன உறவுகளை இயல்பாக்கியது; ஈரான் பணயக்கைதிகள் நெருக்கடிக்கு வழிவகுத்த ஈரானிய புரட்சி, 1979; மற்றும் ஆப்கானிஸ்தானில் சோவியத் படையெடுப்பு, 1979.","அமெரிக்க தேசிய பாதுகாப்பு ஆலோசகராக, அவர் 1978 ஆம் ஆண்டில் கேம்ப் டேவிட் ஒப்பந்தம் போன்ற உலக விவகாரங்களை தூதரக ரீதியாக கையாளுவதில் கார்ட்டருக்கு உதவி செய்தார்; ஐ.எஸ்-சீனா உறவுகளை இயல்பு நிலைக்குக் கொண்டுவர 20 ஆம் நூற்றாண்டின் பிற்பகுதியில்; ஈரானிய புரட்சி, இது ஈரானில் குற்றவாளிகள் நெருக்கடிக்கு வழிவகுத்தது, மற்றும் ஆப்கானிஸ்தானில் சோவியத் படையெடுப்பு, 30."
"The movie, featuring Ryan Gosling and Emma Stone, received nominations in all major categories.","ரியான் கோஸ்லிங் மற்றும் எம்மா ஸ்டோன் நடித்த இந்தத் திரைப்படம், அனைத்து முக்கிய பிரிவுகளிலும் பரிந்துரைகளைப் பெற்றது.","ரையன் கோஸ்லிங் மற்றும் எம்மா கல் ஆகியவற்றை சிறப்பித்துக் காட்டிய அந்த சினிமா, எல்லா முக்கிய வகைகளிலும் ஆட்சேபணைகளை பெற்றது.","▁The ▁movie , ▁featur ing ▁Ryan ▁Gos ling ▁and ▁Emma ▁Stone , ▁receive d ▁ nomination s ▁in ▁all ▁major ▁ categories . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>",ரையன் கோஸ்லிங் மற்றும் எம்மா ஸ்டோன் நடித்த இந்த படம் அனைத்து முக்கிய பிரிவுகளிலும் பரிந்துரைகளைப் பெற்றது.,ரியான் கோஸ்லிங் மற்றும் எம்மா ஸ்டோன் நடித்த இத்திரைப்படம் அனைத்து முக்கிய பிரிவுகளிலும் பரிந்துரைகளைப் பெற்றது.,"ரையன் கோஸ்லிங் மற்றும் எம்மா ஸ்டோன் நடித்த இந்தத் திரைப்படம், அனைத்து முக்கியமான பிரிவுகளிலும் பரிந்துரைக்கப்பட்டது."
Gosling and Stone received nominations for Best Actor and Actress respectively.,"கோஸ்லிங் மற்றும் ஸ்டோன், இவர்கள் இருவரும் சிறந்த நடிகர் மற்றும் நடிகைக்கான பரிந்துரைகளைப் பெற்றனர்.",பொ. ச. மு.,▁Gos ling ▁and ▁Stone ▁receive d ▁ nomination s ▁for ▁Best ▁ Actor ▁and ▁A ctress ▁ respectively . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,கோஸ்லிங் மற்றும் ஸ்டோன் முறையே சிறந்த நடிகர் மற்றும் நடிகைக்கான பரிந்துரைகளைப் பெற்றனர்.,கோஸ்லிங் மற்றும் ஸ்டோன் முறையே சிறந்த நடிகர் மற்றும் நடிகைக்கான பரிந்துரைகளைப் பெற்றனர்.,கோஸ்லிங் மற்றும் ஸ்டோன் முறையே சிறந்த நடிகர் மற்றும் நடிகை விருதுகளுக்கு பரிந்துரைக்கப்பட்டனர்.
"The other nominations include Best Picture, Director, Cinematography, Costume Design, Film-editing, Original Score, Production Design, Sound Editing, Sound Mixing and Original Screenplay.","சிறந்த படம், இயக்குனர், ஒளிப்பதிவு, ஆடை வடிவமைப்பு, பட எடிட்டிங், அசல் ஸ்கோர், தயாரிப்பு வடிவமைப்பு, ஒலி எடிட்டிங், ஒலி கலவை மற்றும் அசல் திரைக்கதை ஆகிய பிற பரிந்துரைகள் அடங்கியுள்ளன.","மற்ற பொருள்களில் சிறந்த படம், இயக்குநர், சினிமாகிராஃபிக், விலையுயர்ந்த வடிவமைப்பு, படத்தொகுப்பு, வரைபடம், மூல மதிப்பெண், உருவாக்கல், ஒலிக் கலவை, மற்றும் அசல் திரைப்படம் ஆகியவை அடங்கும்.","▁The ▁other ▁ nomination s ▁include ▁Best ▁Picture , ▁Director , ▁Cinema t ography , ▁Costume ▁Design , ▁Film - editing , ▁Original ▁Score , ▁Production ▁Design , ▁Sound ▁Edit ing , ▁Sound ▁Mix ing ▁and ▁Original ▁Screen play . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","மற்ற பரிந்துரைகளில் சிறந்த படம், இயக்குனர், சினிமா, ஆடை வடிவமைப்பு, திரைப்பட எடிட்டிங், அசல் மதிப்பெண், உற்பத்தி வடிவமைப்பு, ஒலி எடிட்டிங், ஒலி கலவை மற்றும் அசல் திரைப்படம் ஆகியவை அடங்கும்.","சிறந்த படம், இயக்குனர், ஒளிப்பதிவு, ஆடை வடிவமைப்பு, திரைப்பட எடிட்டிங், அசல் ஸ்கோர், தயாரிப்பு வடிவமைப்பு, ஒலி எடிட்டிங், ஒலி கலவை மற்றும் அசல் திரைக்கதை ஆகியவை பரிந்துரைக்கப்படுகின்றன.","மற்ற பரிந்துரைகள் சிறந்த திரைப்படம், இயக்குனர், ஒளிப்பதிவு, உடை வடிவமைப்பு, திரைப்பட-தொகுப்பு, முதன்மை பாடல், தயாரிப்பு வடிகட்டுதல், ஒலி திருத்தம், ஒலியின் கலவை மற்றும் மூல திரைக்கதை ஆகியவையாகும்."
"Two songs from the movie, Audition (The Fools Who Dream) and City of Stars, received nominations for best original song. Lionsgate studio received 26 nominations — more than any other studio.","திரைப்படத்தின் இரண்டு பாடல்கள், ஆடிஷன் (தி ஃபூல்ஸ் ஹூ ட்ரீம்) மற்றும் சிட்டி ஆஃப் ஸ்டார்ஸ், சிறந்த ஒர்ஜினல் பாடலுக்கான பரிந்துரைகளைப் பெற்றன. லயன்ஸ்கேட் ஸ்டுடியோ 26 பரிந்துரைகளைப் பெற்றது - வேறு எந்த ஸ்டுடியோவை விடவும் அதிகமானது.",சிங்கப்பூர் ஸ்டுடியோவில் 26 ஒலியலைகள் — வேறு எந்த ஸ்டுடியோவைவிட அதிகமானவை — பெற்றன.,"▁Two ▁songs ▁from ▁the ▁movie , ▁A udition ▁( The ▁Foo l s ▁Who ▁Dream ) ▁and ▁City ▁of ▁Stars , ▁receive d ▁ nomination s ▁for ▁best ▁original ▁song . ▁ Lions gate ▁studio ▁receive d ▁26 ▁ nomination s ▁— ▁more ▁than ▁any ▁other ▁studio . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","திரைப்படத்திலிருந்து இரண்டு பாடல்கள், ஆடிஷன் (தி ஃபுல்ஸ் ஹூ ட்ரீம்) மற்றும் சிட்டி ஆஃப் ஸ்டார்ஸ், சிறந்த அசல் பாடலுக்கான பரிந்துரைகளைப் பெற்றன. லைன்ஸ்கேட் ஸ்டுடியோ வேறு எந்த ஸ்டுடியோவையும் விட 26 பரிந்துரைகளைப் பெற்றது.","திரைப்படத்தின் இரண்டு பாடல்கள், ஆடிஷன் (தி ஃபூல்ஸ் ஹூ ட்ரீம்) மற்றும் சிட்டி ஆஃப் ஸ்டார்ஸ், சிறந்த அசல் பாடலுக்கான பரிந்துரைகளைப் பெற்றன. லயன்ஸ்கேட் ஸ்டுடியோ 26 பரிந்துரைகளைப் பெற்றது-வேறு எந்த ஸ்டுடியோவையும் விட அதிகம்.","இத்திரைப்படத்தில் இடம்பெற்ற இரண்டு பாடல்கள், ஆடியன்ஸ் (தி ஃபுல்ஸ் வுட் ட்ரீம்) மற்றும் சிட்டி ஆஃப் ஸ்டார்ஸ் ஆகியவை சிறந்த மூலப் பாடலுக்கு பரிந்துரைக்கப்பட்டன."
"Late on Sunday, the United States President Donald Trump, in a statement delivered via the press secretary, announced US troops would be leaving Syria.","ஞாயிற்றுக்கிழமை பிற்பகுதியில், அமெரிக்க அதிபர் டொனால்ட் டிரம்ப், பத்திரிகை செயலாளர் வழியாக வழங்கிய அறிக்கையில், அமெரிக்கத் துருப்புகள் சிரியாவை விட்டு வெளியேறப்போவதாக அறிவித்தார்.","ஞாயிறு பிற்பகுதியில், ஐக்கிய மாகாணங்களின் ஜனாதிபதி டானல்டு ட்ரூப், செய்தி செயலாளர் மூலம் வழங்கப்பட்ட ஒரு கூற்று, அமெரிக்க படைகள் சீரியாவை விட்டு வெளியேறும் என்று அறிவித்தது.","▁Late ▁on ▁Sunday , ▁the ▁United ▁States ▁President ▁Donald ▁Trump , ▁in ▁ a ▁statement ▁deliver ed ▁via ▁the ▁press ▁ secretary , ▁ announced ▁US ▁ troop s ▁ would ▁be ▁le aving ▁ Syria . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","ஞாயிற்றுக்கிழமை பிற்பகல், அமெரிக்க ஜனாதிபதி டொனால்ட் டிரம்ப், பத்திரிகை செயலாளர் வழியாக வழங்கப்பட்ட அறிக்கையில், அமெரிக்க துருப்புக்கள் சிரியாவை விட்டு வெளியேறுவதாக அறிவித்தார்.","ஞாயிற்றுக்கிழமை பிற்பகுதியில், அமெரிக்க ஜனாதிபதி டொனால்ட் ட்ரம்ப், பத்திரிகை செயலாளர் மூலம் வழங்கிய அறிக்கையில், அமெரிக்க துருப்புக்கள் சிரியாவை விட்டு வெளியேறும் என்று அறிவித்தார்.","ஞாயிற்றுக்கிழமை மாலை, அமெரிக்க அதிபர் டொனால்ட் டிரம்ப், செய்தித் தொடர்பாளர் மூலமாக வழங்கப்பட்ட ஒரு அறிவிப்பில், ஐக்கிய அமெரிக் இராணுவம் சிரியாவை விட்டு வெளியேறுவதாக அறிவித்தார்."
The announcement was made after Trump had a phone conversation with Turkish President Recep Tayyip Erdoğan.,"இந்த அறிவிப்பு ட்ரம்ப், துருக்கியின் ஜனாதிபதி ரெஸெப் டய்யிப் ஏர்டோகனுடன் நடத்திய தொலைபேசி உரையாடலின் பின்னர் செய்யப்பட்டது.","ட்ரூப், துருக்கிய ஜனாதிபதி ரிஸ்ப் டானிப் ஏர்டோன்டன் ஒரு தொலைபேசி உரையாடிய பிறகு இந்த அறிவிப்பு செய்யப்பட்டது.",▁The ▁ announcement ▁was ▁made ▁after ▁Trump ▁had ▁ a ▁phone ▁conversation ▁with ▁ Turkish ▁President ▁Recep ▁Tay yip ▁ Erdoğan . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,துருக்கிய அதிபர் ரெசெப் தயிப் எர்டோகனுடன் டிரம்ப் தொலைபேசி உரையாடலுக்குப் பிறகு இந்த அறிவிப்பு செய்யப்பட்டது.,துருக்கி அதிபர் ரெசெப் தயிப் எர்டோகனுடன் ட்ரம்ப் தொலைபேசியில் பேசிய பின்னர் இந்த அறிவிப்பு வெளியிடப்பட்டது.,இந்த அறிவிப்பு துருக்கி அதிபர் ரெசெப் தயீப் எர்டோகன் உடனான தொலைபேசி உரையாடலின் பின்னர் வெளியிடப்பட்டது.
"Turkey would also take over guarding captured ISIS fighters which, the statement said, European nations have refused to repatriate.",அந்த அறிக்கையின்படி கைப்பற்றப்பட்ட ISIS போராளிகளை பாதுகாக்கும் பொறுப்பை துருக்கி எடுத்துக்கொள்ளும் மற்றும் ஐரோப்பிய நாடுகள் திருப்பி அனுப்ப மறுத்துவிட்டன என்றும் கூறியது.,ஐரோப்பிய நாடுகள் திரும்பிவர மறுத்துவிட்டன என்று கூறின ஐஸிஸ் போர்வீரர்களையும் துருக்கி கைப்பற்றும்.,"▁ Turkey ▁ would ▁also ▁take ▁over ▁guard ing ▁captur ed ▁ ISIS ▁ fighter s ▁ which , ▁the ▁statement ▁said , ▁European ▁ nations ▁have ▁re fused ▁to ▁re patria te . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>",துருக்கி கைப்பற்றப்பட்ட ஐஎஸ்ஐஎஸ் போராளிகளை பாதுகாப்பதைக் கைப்பற்றும். ஐரோப்பிய நாடுகள் அவர்களை நாடு திரும்ப அனுமதிக்க மறுத்துவிட்டன என்று அந்த அறிக்கையில் தெரிவிக்கப்பட்டுள்ளது.,"கைப்பற்றப்பட்ட ஐஎஸ்ஐஎஸ் போராளிகளைப் பாதுகாப்பதையும் துருக்கி எடுத்துக் கொள்ளும், ஐரோப்பிய நாடுகள் திருப்பி அனுப்ப மறுத்துவிட்டன என்று அந்த அறிக்கையில் கூறப்பட்டுள்ளது.",ஐரோப்பிய நாடுகள் தங்கள் நாட்டுக்குள் திரும்ப அனுமதிக்க மறுத்துவிட்ட ஐ.எஸ்.ஐ. எஸ் போராளிகளை கைது செய்து பாதுகாப்பதையும் துருக்கி ஏற்றுக்கொள்ளும் என்று அந்த அறிவிப்பில் கூறப்பட்டுள்ளது.
"This not only confirms that at least some dinosaurs had feathers, a theory already widespread, but provides details fossils generally cannot, such as color and three-dimensional arrangement.","இது, ஏற்கனவே பரவலாக பேசப்படும் கொள்கையான சில டைனோசர்களுக்கு மட்டும் இறகுகள் இருப்பதை உறுதிப்படுத்துகிறது. மேலும், விளக்கமான தொல் எச்சங்களால் பொதுவாக அளிக்க முடியாத நிறம் மற்றும் முப்பரிமாண அமைப்பு குறித்த விவரங்களையும் வழங்குகிறது.","இது சில டிஜிட்டல்களுக்கு இறகுகள் இருப்பது மட்டும் அல்ல, ஆனால் பொதுவாக வண்ணங்கள் மற்றும் மூன்று பரிணாம அமைப்புகள் போன்ற புதைபடிவங்களை அளிக்க முடியாது.","▁This ▁not ▁only ▁confirm s ▁that ▁at ▁ least ▁some ▁dinosaur s ▁had ▁ feather s , ▁ a ▁ theory ▁ already ▁wide spread , ▁but ▁provide s ▁details ▁ fossil s ▁general ly ▁can not , ▁such ▁as ▁color ▁and ▁three - dimensional ▁arrangement . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>","இது குறைந்தபட்சம் சில டைனோசர்களுக்கு இறகுகள் இருந்ததை உறுதிப்படுத்துவது மட்டுமல்லாமல், ஏற்கனவே பரவலாகப் பரவியிருக்கும் ஒரு கோட்பாட்டையும் வழங்குகிறது, ஆனால் புதைபடிவங்கள் பொதுவாக முடியாது, நிறம் மற்றும் மூன்று பரிமாண ஏற்பாடு போன்ற விவரங்களை வழங்குகிறது.","இது குறைந்தபட்சம் சில டைனோசர்களுக்கு இறகுகள் இருந்தன என்பதை உறுதிப்படுத்துவது மட்டுமல்லாமல், ஏற்கனவே பரவலாக உள்ள ஒரு கோட்பாடு, ஆனால் நிறம் மற்றும் முப்பரிமாண ஏற்பாடு போன்ற புதைபடிவங்கள் பொதுவாக செய்ய முடியாத விவரங்களை வழங்குகிறது.","இது குறைந்தபட்சம் சில டைனோசர்களுக்கு புறாக்கள் இருந்தன என்பதை உறுதிப்படுத்துவதோடு மட்டுமல்லாமல், இது ஏற்கனவே பரவலாக அறியப்பட்ட ஒரு கோட்பாடு, ஆனால் வண்ணம் மற்றும் முப்பரிமாண அமைப்பு போன்ற விவரங்களை பொதுவாக புதைபடிவங்கள் வழங்குவதில்லை."
. Scientists say this animal's plumage was chestnut-brown on top with a pale or carotenoid-colored underside.,விஞ்ஞானிகள் இந்த விலங்கினுடைய இறகுப்பகுதியின் மேற்பரப்பு கஷ்கொட்டை-பழுப்பு நிறத்திலும் மற்றும் அடிப்பரப்பு வெளிர் அல்லது கரோட்டினாய்டு நிறத்திலும் இருந்தன என்று கூறுகின்றனர்.,". விஞ்ஞானிகள் இந்த விலங்கின் இறகுகள், ஒரு பழுப்பு அல்லது காரோடையோட்-color",▁ . ▁ Scientist s ▁say ▁this ▁animal ' s ▁plum age ▁was ▁chest nut - brown ▁on ▁top ▁with ▁ a ▁pale ▁or ▁caro t enoid - colored ▁under side . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,"விஞ்ஞானிகளின் கூற்றுப்படி, இந்த விலங்கின் இறகுகள் மேலே கஸ்தூன் பழுப்பு நிறமாக இருந்தன, கீழ்புறம் பளபளப்பாகவோ அல்லது கரோட்டினாய்டு நிறமாகவோ இருந்தது.",இந்த விலங்கின் இறகுகள் மேலே செஸ்ட்நட்-பழுப்பு நிறத்தில் வெளிர் அல்லது கரோட்டினாய்டு நிறத்தில் இருந்தன என்று விஞ்ஞானிகள் கூறுகின்றனர்.,. விஞ்ஞானிகள் இந்த விலங்குகளின் பறவைகள் ஒரு பழுப்பு அல்லது carotenoid-நிறம் கீழே மேல் கருப்பு இருந்தது கூறுகின்றனர்.
The find also grants insight into the evolution of feathers in birds.,கண்டுபிடிப்பானது பறவைகளில் இறகுகளின் பரிணாம வளர்ச்சியைப் பற்றிய நுண்ணறிவை வழங்குகிறது.,பறவைகளின் இறகுகளின் பரிணாமத்தைப் பற்றியும் இது உட்பார்வை அளிக்கிறது.,▁The ▁find ▁also ▁ grants ▁ insight ▁into ▁the ▁evolution ▁of ▁ feather s ▁in ▁ birds . </s> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad> <pad>,இந்த கண்டுபிடிப்பு பறவைகளின் இறகுகளின் பரிணாம வளர்ச்சியையும் விளக்குகிறது.,இந்த கண்டுபிடிப்பு பறவைகளில் இறகுகளின் பரிணாம வளர்ச்சியைப் பற்றிய நுண்ணறிவையும் வழங்குகிறது.,இது பறவைகளின் பறக்கும் தன்மை (Bird flying) பற்றிய ஆய்வுகளை மேற்கொள்வதற்கான மையமாகவும் விளங்குகிறது.
